date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:09	371028/371028	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202020%2023:24:06%20GMT	https://accounts.google.com/SignUpWithoutGmail?hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/SignUpWithoutGmailde3a.html	(from https://accounts.google.com/SignUpWithoutGmail?dsh=7007755063837454887&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
01:24:09	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.42c5db.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:09	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es&privacy=true	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.43cbbf.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:09	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.44c5db.delayed	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es&privacy=true	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.45cbbf.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.46c5db.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:10	371114/371114	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202020%2023:24:07%20GMT	https://accounts.google.com/SignUp?dsh=7007755063837454887&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/SignUpd8ae.html	(from https://accounts.google.com/SignUpWithoutGmail?dsh=7007755063837454887&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
01:24:10	311/311	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2015%20Jul%202020%2023:24:09%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&rip=1	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/AccountChooser.47cd16.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&sacu=1&rip=1)
01:24:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es&privacy=true	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.48cbbf.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&sacu=1&rip=1)
01:24:10	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.49c5db.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&sacu=1&rip=1)
01:24:11	371240/371240	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202020%2023:24:08%20GMT	https://accounts.google.com/SignUp?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/SignUpfc2f.html	(from https://accounts.google.com/SignUpWithoutGmail?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:11	72928/72928	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202020%2023:24:10%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=6810403357797846023	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/ServiceLoginc4f9.html	(from https://accounts.google.com/SignUpWithoutGmail?hl=es)
01:24:11	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.4cc5db.delayed	(from https://accounts.google.com/SignUpWithoutGmail?hl=es)
01:24:11	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es&privacy=true	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.4dcbbf.delayed	(from https://accounts.google.com/SignUpWithoutGmail?hl=es)
01:24:11	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.4ec5db.delayed	(from https://accounts.google.com/SignUpWithoutGmail?hl=es)
01:24:12	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.4fc5db.delayed	(from https://accounts.google.com/SignUp?dsh=7007755063837454887&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
01:24:12	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es&privacy=true	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.50cbbf.delayed	(from https://accounts.google.com/SignUp?dsh=7007755063837454887&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
01:24:12	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.51c5db.delayed	(from https://accounts.google.com/SignUp?dsh=7007755063837454887&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1)
01:24:12	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.52c5db.delayed	(from https://accounts.google.com/SignUp?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:12	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es&privacy=true	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.53cbbf.delayed	(from https://accounts.google.com/SignUp?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
01:24:12	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ES&hl=es	C:/Mis%20lugares%20Web/Copia%20Google%20Logon/accounts.google.com/TOS.54c5db.delayed	(from https://accounts.google.com/SignUp?dsh=-6608063374203069767&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=es)
